mpg,cylinders,displacement,horsepower,weight,model year,origin
18,8,307,130,3504,70,1
15,8,350,165,3693,70,1
18,8,318,150,3436,70,1
16,8,304,150,3433,70,1
17,8,302,140,3449,70,1
15,8,429,198,4341,70,1
14,8,454,220,4354,70,1
14,8,440,215,4312,70,1
14,8,455,225,4425,70,1
15,8,390,190,3850,70,1
15,8,383,170,3563,70,1
14,8,340,160,3609,70,1
15,8,400,150,3761,70,1
14,8,455,225,3086,70,1
24,4,113,95,2372,70,3
22,6,198,95,2833,70,1
18,6,199,97,2774,70,1
21,6,200,85,2587,70,1
27,4,97,88,2130,70,3
26,4,97,46,1835,70,2
25,4,110,87,2672,70,2
24,4,107,90,2430,70,2
25,4,104,95,2375,70,2
26,4,121,113,2234,70,2
21,6,199,90,2648,70,1
10,8,360,215,4615,70,1
10,8,307,200,4376,70,1
11,8,318,210,4382,70,1
9,8,304,193,4732,70,1
27,4,97,88,2130,71,3
28,4,140,90,2264,71,1
25,4,113,95,2228,71,3
19,6,232,100,2634,71,1
16,6,225,105,3439,71,1
17,6,250,100,3329,71,1
19,6,250,88,3302,71,1
18,6,232,100,3288,71,1
14,8,350,165,4209,71,1
14,8,400,175,4464,71,1
14,8,351,153,4154,71,1
14,8,318,150,4096,71,1
12,8,383,180,4955,71,1
13,8,400,170,4746,71,1
13,8,400,175,5140,71,1
18,6,258,110,2962,71,1
22,4,140,72,2408,71,1
19,6,250,100,3282,71,1
18,6,250,88,3139,71,1
23,4,122,86,2220,71,1
28,4,116,90,2123,71,2
30,4,79,70,2074,71,2
30,4,88,76,2065,71,2
31,4,71,65,1773,71,3
35,4,72,69,1613,71,3
27,4,97,60,1834,71,2
26,4,91,70,1955,71,1
24,4,113,95,2278,72,3
25,4,97.5,80,2126,72,1
23,4,97,54,2254,72,2
20,4,140,90,2408,72,1
21,4,122,86,2226,72,1
13,8,350,165,4274,72,1
14,8,400,175,4385,72,1
15,8,318,150,4135,72,1
14,8,351,153,4129,72,1
17,8,304,150,3672,72,1
11,8,429,208,4633,72,1
13,8,350,155,4502,72,1
12,8,350,160,4456,72,1
13,8,400,190,4422,72,1
19,3,70,97,2330,72,3
15,8,304,150,3892,72,1
13,8,307,130,4098,72,1
13,8,302,140,4294,72,1
14,8,318,150,4077,72,1
18,4,121,112,2933,72,2
22,4,121,76,2511,72,2
21,4,120,87,2979,72,2
26,4,96,69,2189,72,2
22,4,122,86,2395,72,1
28,4,97,92,2288,72,3
23,4,120,97,2506,72,3
28,4,98,80,2164,72,1
27,4,97,88,2100,72,3
13,8,350,175,4100,73,1
14,8,304,150,3672,73,1
13,8,350,145,3988,73,1
